date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:37	232178/232178	---M--	200	added ('OK')	image/jpeg	etag:%2238af2-6576e842-e4a6c1698fd0c3b4;;;%22	https://tcrr.in/img/consult_bg.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/consult_bg.jpg	(from https://tcrr.in/css/main.css)
10:40:37	132615/132615	---M--	200	added ('OK')	image/jpeg	etag:%2220607-6576e842-467d7b5c1ce6b055;;;%22	https://tcrr.in/img/about-banner.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/about-banner.jpg	(from https://tcrr.in/css/main.css)
10:40:38	28131/28131	---M--	200	added ('OK')	image/jpeg	etag:%226de3-6576e842-7951778053b9f61d;;;%22	https://tcrr.in/img/counter-bg.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/counter-bg.jpg	(from https://tcrr.in/css/main.css)
10:40:38	520047/520047	---M--	200	added ('OK')	image/jpeg	etag:%227ef6f-6576e842-163340e4961fc0a0;;;%22	https://tcrr.in/img/teastimonial_bg.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/teastimonial_bg.jpg	(from https://tcrr.in/css/main.css)
10:40:38	1996/1996	---M--	200	added ('OK')	image/png	etag:%227cc-6576e842-a27b55de842cc0bb;;;%22	https://tcrr.in/img/shape/feature-v3-shape.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/shape/feature-v3-shape.png	(from https://tcrr.in/css/main.css)
10:40:38	63167/63167	---M--	200	added ('OK')	image/png	etag:%22f6bf-6576e842-4a5e7e96c8f31207;;;%22	https://tcrr.in/img/map.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/map.png	(from https://tcrr.in/css/main.css)
10:40:39	201679/201679	---M--	200	added ('OK')	image/jpeg	etag:%22313cf-6576e842-81f210bce3b58700;;;%22	https://tcrr.in/img/page_hd.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/page_hd.jpg	(from https://tcrr.in/css/main.css)
10:40:39	6057/6057	---M--	200	added ('OK')	image/png	etag:%2217a9-6576e842-e282864ea7c3feaf;;;%22	https://tcrr.in/img/shape/footer-shape.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/shape/footer-shape.png	(from https://tcrr.in/css/main.css)
10:41:04	2548285/2548285	---M--	200	added ('OK')	image/jpeg	etag:%2226e23d-6576e842-ecde6ab27518ea0c;;;%22	https://tcrr.in/img/video-thumb.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/video-thumb.jpg	(from https://tcrr.in/)
10:41:20	6584902/6584902	---M--	200	added ('OK')	image/jpeg	etag:%22647a46-6576e842-b887b228790abfe5;;;%22	https://tcrr.in/img/villas.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/villas.jpg	(from https://tcrr.in/segments.html)
10:41:22	80516/80516	---M--	200	added ('OK')	image/jpeg	etag:%2213a84-6576e842-82caa74373fdfc60;;;%22	https://tcrr.in/img/deal.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/deal.jpg	(from https://tcrr.in/maximizing-your-real-estate-investment.html.html)
